Date,GLD,IEF,SPY,VXUS
2016-04-06,116.94000244140625,87.06417083740234,174.92161560058594,32.48917770385742
2016-04-07,118.61000061035156,87.513427734375,172.8285369873047,31.98911476135254
2016-04-08,118.43000030517578,87.37937927246094,173.2946014404297,32.64360427856445
2016-04-11,120.02999877929688,87.36365509033203,172.88790893554688,32.70243453979492
2016-04-12,120.05000305175781,87.0168685913086,174.49789428710938,33.24661636352539
2016-04-13,118.7699966430664,87.07991790771484,176.26052856445312,33.73933410644531
2016-04-14,117.11000061035156,86.87500762939453,176.26901245117188,33.70254135131836
2016-04-15,117.91999816894531,87.1351089477539,176.07408142089844,33.621665954589844
2016-04-18,117.73999786376953,87.04842376708984,177.31134033203125,33.8790397644043
2016-04-19,119.58000183105469,86.90655517578125,177.87057495117188,34.49677276611328
2016-04-20,118.97000122070312,86.46520233154297,178.04010009765625,34.423240661621094
2016-04-21,119.41999816894531,86.32332611083984,177.08253479003906,34.20261001586914
2016-04-22,117.88999938964844,86.22874450683594,177.08253479003906,34.18055725097656
2016-04-25,118.2300033569336,86.1341781616211,176.7774658203125,34.01141357421875
2016-04-26,118.69999694824219,85.952880859375,177.04013061523438,34.1511344909668
2016-04-27,119.04000091552734,86.42579650878906,177.404541015625,34.254093170166016
2016-04-28,121.29000091552734,86.72527313232422,175.79449462890625,33.85697937011719
2016-04-29,123.6500015258789,86.6937484741211,174.8453369140625,33.746665954589844
